序号,基金代码,基金简称,类型,日期,单位净值,累计净值,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立日期
1,159636,工银瑞信国证港股通科技30ETF,指数型-股票,2025-03-12,1.3619,1.3619,0.16,12.77,30.93,76.96,86.15,63.08,,33.47,36.19,2022-06-30
2,513160,银华恒生港股通中国科技ETF,指数型-股票,2025-03-12,1.2447,1.2447,1.78,10.68,34.18,82.72,83.02,65.74,63.54,34.07,24.47,2022-01-17
3,513020,国泰中证港股通科技ETF,指数型-股票,2025-03-12,1.1483,1.1483,1.36,12.53,31.6,73.09,74.73,54.18,51.01,34.12,14.83,2022-01-19
4,513150,华泰柏瑞港股通科技ETF,指数型-股票,2025-03-12,1.1699,1.1699,1.4,12.53,32.09,72.81,74.04,53.75,50.1,33.89,16.99,2022-01-25
5,513560,兴银中证港股通科技ETF,指数型-股票,2025-03-12,1.3616,1.3616,1.42,12.65,31.72,72.95,73.74,54.22,,33.81,36.16,2023-01-31
