序号,基金代码,基金简称,类型,日期,单位净值,累计净值,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立日期
36,513230,华夏中证港股通消费主题ETF,指数型-股票,2025-03-13,1.0899,1.0899,-3.78,12.33,23.96,58.53,58.48,39.25,41.18,25.43,8.99,2022-01-12
37,517200,嘉实中证沪港深互联网ETF,指数型-股票,2025-03-13,0.786,0.786,-5.73,6.68,18.46,78.27,58.12,33.18,46.61,23.24,-21.4,2021-01-25
38,159851,华宝中证金融科技主题ETF,指数型-股票,2025-03-13,1.5397,1.5397,-5.13,-1.5,-2.69,109.6,57.0,33.84,38.79,7.57,53.97,2021-03-04
39,516860,博时金融科技ETF,指数型-股票,2025-03-13,1.3159,1.3159,-5.14,-1.51,-2.65,110.11,56.77,31.2,34.32,7.6,31.58,2021-09-24
40,159735,银华中证港股通消费主题ETF,指数型-股票,2025-03-13,0.8469,0.8469,-3.71,12.11,23.58,56.05,56.11,35.2,36.46,25.0,-15.31,2021-05-25
41,516100,华夏中证金融科技主题ETF,指数型-股票,2025-03-14,1.3075,1.3075,-4.96,-1.49,-2.26,108.44,55.72,31.09,36.41,8.02,25.4,2021-07-13
42,159607,嘉实中证海外中国互联网30ETF(QDII),指数型-海外股票,2025-03-12,1.1321,1.1321,0.19,9.64,19.91,50.89,55.06,51.88,76.89,26.28,13.21,2021-11-24
43,513220,招商中证全球中国互联网ETF(QDII),指数型-海外股票,2025-03-13,1.3201,1.3201,-5.48,7.16,19.42,53.27,54.81,46.53,,23.07,32.01,2022-07-04
44,513590,鹏华中证港股通消费主题ETF,指数型-股票,2025-03-13,0.965,0.965,-3.71,11.41,22.32,54.87,54.8,36.18,42.9,23.58,-3.5,2021-08-03
45,159960,平安港股通恒生中国企业ETF,指数型-股票,2025-03-14,0.9079,1.0694,-0.14,6.84,21.34,44.87,53.85,48.97,64.57,18.94,11.57,2018-09-21
46,159605,广发海外中国互联网30(QDII-ETF),指数型-海外股票,2025-03-13,1.1263,1.1263,-5.52,7.64,21.2,49.54,52.22,47.46,77.71,25.01,12.63,2021-11-24
47,510900,易方达恒生国企ETF,指数型-海外股票,2025-03-13,1.1183,1.1683,-3.3,8.12,20.36,44.3,52.09,43.1,48.65,18.49,16.7,2012-08-09
48,159850,华夏恒生中国企业ETF(QDII),指数型-海外股票,2025-03-13,0.8792,0.8792,-3.37,8.1,20.41,44.3,51.98,42.43,46.97,18.54,-12.08,2021-02-01
49,513330,华夏恒生互联网科技业ETF(QDII),指数型-海外股票,2025-03-13,0.5259,0.5259,-6.04,8.25,21.74,53.37,51.16,25.63,21.06,26.39,-47.41,2021-01-26
50,513190,华夏中证港股通内地金融ETF,指数型-股票,2025-03-13,1.464,1.464,-1.01,4.63,12.3,39.07,50.35,,,8.02,46.4,2023-09-25
51,517390,天弘中证沪港深云计算产业ETF,指数型-股票,2025-03-13,1.2278,1.2278,-5.87,3.76,19.08,80.48,49.75,33.01,51.99,22.56,22.78,2021-12-10
52,513660,华夏沪港通恒生ETF,指数型-股票,2025-03-14,2.9466,1.5298,-1.04,6.7,21.11,41.63,49.47,39.93,53.68,19.98,52.98,2014-12-23
53,159788,易方达中证港股通中国100ETF,指数型-股票,2025-03-13,1.2711,1.2711,-3.19,8.56,20.01,43.43,49.03,37.59,42.47,18.69,27.11,2022-02-22
54,159738,华泰柏瑞中证沪港深云计算产业ETF,指数型-股票,2025-03-13,1.3005,1.3005,-5.85,3.77,18.67,77.42,48.59,33.1,52.43,22.2,30.05,2022-01-18
55,159688,华安恒生互联网科技业ETF(QDII),指数型-海外股票,2025-03-13,1.0719,1.0719,-6.01,8.07,21.6,53.81,48.59,24.19,,26.0,7.19,2023-01-17
56,513990,招商上证港股通ETF,指数型-股票,2025-03-14,1.0944,1.0944,-1.07,6.94,21.65,39.2,48.27,35.03,49.08,20.97,9.44,2020-08-03
57,517350,广发中证沪港深科技龙头ETF,指数型-股票,2025-03-13,0.8057,0.8057,-5.21,6.14,20.24,52.22,47.0,30.97,22.48,19.12,-19.43,2021-05-20
58,159665,工银瑞信国证半导体芯片ETF,指数型-股票,2025-03-13,1.3321,1.3321,-5.5,2.27,10.64,73.09,46.95,28.63,,6.8,33.21,2022-12-22
59,159793,平安中证沪港深线上消费主题ETF,指数型-股票,2025-03-14,0.9976,0.9976,-1.95,0.95,15.65,64.73,46.81,29.46,41.66,25.03,-0.24,2021-11-09
60,588100,嘉实上证科创板新一代信息技术ETF,指数型-股票,2025-03-13,1.4294,1.4294,-5.11,4.76,11.1,76.93,46.73,34.7,,10.28,42.94,2022-05-18
61,561980,招商中证半导体产业ETF,指数型-股票,2025-03-14,1.3701,1.3701,-3.42,5.47,8.73,63.26,46.68,,,9.59,37.01,2023-08-21
62,588260,华安上证科创板新一代信息技术ETF,指数型-股票,2025-03-13,1.4177,1.4177,-5.05,4.77,11.04,76.42,46.55,33.46,,10.19,41.77,2022-05-18
63,159723,汇添富中证沪港深科技龙头ETF,指数型-股票,2025-03-13,0.9295,0.9295,-5.21,5.9,19.87,51.38,46.52,30.88,22.79,18.76,-7.05,2021-09-27
64,517360,华安中证沪港深科技100ETF,指数型-股票,2025-03-13,1.0588,1.0588,-3.25,10.27,20.77,51.69,46.49,31.71,41.02,21.53,5.88,2021-06-18
65,513600,南方恒指ETF,指数型-海外股票,2025-03-13,2.6925,1.4198,-3.57,8.41,18.56,37.86,46.38,30.7,40.96,17.78,42.58,2014-12-23
66,513550,华泰柏瑞中证港股通50ETF,指数型-股票,2025-03-13,1.06,1.06,-3.8,8.41,19.45,39.4,46.13,33.64,42.66,18.41,6.0,2020-12-30
67,512480,国联安中证半导体ETF,指数型-股票,2025-03-13,1.0954,2.1908,-5.41,2.92,9.64,74.48,46.05,24.76,-1.94,8.64,119.08,2019-05-08
68,516350,易方达中证芯片产业ETF,指数型-股票,2025-03-13,0.8913,0.8913,-5.48,2.86,10.91,72.3,45.66,28.69,1.16,8.14,-10.87,2021-12-15
69,159711,华夏中证港股通50ETF,指数型-股票,2025-03-13,1.2623,1.2623,-3.71,8.34,19.2,39.07,45.58,33.35,43.69,18.31,26.23,2021-12-16
70,159537,国泰国证信息技术创新主题ETF,指数型-股票,2025-03-14,1.324,1.324,-2.49,2.26,14.84,80.21,44.89,,,13.58,32.4,2023-09-20
71,159801,广发国证半导体芯片ETF,指数型-股票,2025-03-13,0.6486,1.2972,-5.59,2.11,10.1,71.32,44.87,25.87,-7.5,6.33,29.72,2020-01-20
72,159995,华夏国证半导体芯片ETF,指数型-股票,2025-03-13,1.3036,1.3036,-5.6,2.17,10.13,71.48,44.76,25.61,-7.4,6.37,30.36,2020-01-20
73,159813,鹏华国证半导体芯片ETF,指数型-股票,2025-03-13,0.8363,1.2545,-5.59,2.12,10.07,71.2,44.71,25.33,-7.29,6.32,25.44,2020-04-17
74,159538,富国国证信息技术创新主题ETF,指数型-股票,2025-03-14,1.3398,1.3398,-2.5,2.23,14.71,80.32,44.52,,,13.45,33.85,2023-09-14
75,562950,易方达中证消费电子主题ETF,指数型-股票,2025-03-14,0.902,0.902,-1.1,1.05,10.84,54.48,44.44,32.51,11.4,8.24,-9.8,2022-01-12
76,516640,富国中证芯片产业ETF,指数型-股票,2025-03-13,0.801,0.801,-5.52,2.78,10.79,71.93,44.14,24.61,-1.79,8.05,-19.9,2021-08-19
77,516920,汇添富中证芯片产业ETF,指数型-股票,2025-03-13,0.7809,0.7809,-5.52,2.83,10.81,71.59,44.02,24.43,-2.69,8.1,-21.91,2021-07-27
78,159560,景顺长城中证芯片产业ETF,指数型-股票,2025-03-13,1.253,1.253,-5.48,2.81,10.92,71.55,44.01,,,8.19,25.27,2023-11-09
79,159920,华夏恒生ETF(QDII),指数型-海外股票,2025-03-14,1.4729,1.5489,-3.66,8.01,17.71,37.27,43.67,30.36,37.23,17.06,51.69,2012-08-09
80,560660,新华中证云计算50ETF,指数型-股票,2025-03-13,1.2579,1.2579,-4.83,2.14,13.8,78.7,43.51,33.45,55.64,18.27,25.79,2021-08-05
81,159712,国泰中证港股通50ETF,指数型-股票,2025-03-13,1.174,1.174,-3.79,7.25,18.03,37.62,43.42,31.48,41.17,17.01,17.4,2021-10-27
82,512760,国泰CES半导体芯片ETF,指数型-股票,2025-03-13,1.2171,2.4342,-5.2,3.29,10.74,71.49,43.36,22.22,-6.24,8.39,143.42,2019-05-16
83,517900,招商中证银行AH价格优选ETF,指数型-股票,2025-03-14,1.4195,1.4195,0.79,3.49,13.53,35.52,42.5,47.05,,7.28,39.76,2022-03-15
84,159779,招商中证消费电子主题ETF,指数型-股票,2025-03-14,0.8385,0.8385,-1.16,0.99,10.2,51.65,41.93,30.28,8.92,7.69,-16.15,2021-11-18
85,159540,易方达国证信息技术创新主题ETF,指数型-股票,2025-03-13,1.3253,1.3253,-5.15,3.14,13.37,78.28,41.67,,,12.1,32.53,2023-09-20
86,517800,方正富邦沪港深人工智能50ETF,指数型-股票,2025-03-13,0.8191,0.8191,-5.85,3.92,12.81,63.04,41.57,14.62,13.2,13.53,-18.09,2021-08-04
87,159573,华夏创业板中盘200ETF,指数型-股票,2025-03-14,1.3025,1.3025,0.59,6.35,5.3,75.89,41.02,,,16.11,30.25,2023-12-15
88,563010,易方达中证电信主题ETF,指数型-股票,2025-03-14,1.3533,,-0.55,-0.24,5.84,50.18,40.62,,,4.7,35.33,2023-07-05
89,159890,招商中证云计算ETF,指数型-股票,2025-03-14,1.3243,1.3243,-2.37,-0.91,13.97,79.96,40.43,27.29,54.91,19.02,32.43,2021-03-25
90,561600,平安中证消费电子主题ETF,指数型-股票,2025-03-14,0.8923,0.8923,-1.14,0.97,9.85,50.02,40.25,27.18,5.69,7.4,-10.77,2021-08-30
91,513140,华泰柏瑞中证香港300金融服务ETF(QDII),指数型-海外股票,2025-03-13,1.3022,1.3022,-1.99,5.8,12.92,32.22,40.08,32.26,,10.3,30.22,2022-12-26
92,516800,华宝中证智能制造ETF,指数型-股票,2025-03-14,1.2434,1.2434,-1.66,4.06,13.85,69.15,40.05,22.67,20.07,12.81,24.34,2021-01-29
93,159539,广发国证信息技术创新主题ETF,指数型-股票,2025-03-13,1.2855,1.2855,-5.26,2.98,12.64,76.34,39.47,,,11.38,28.55,2023-09-20
94,560800,鹏扬中证数字经济主题ETF,指数型-股票,2025-03-13,0.8318,0.8318,-5.14,1.8,8.68,76.42,39.19,14.46,2.97,8.14,-16.82,2021-12-22
95,513750,广发中证港股通非银ETF,指数型-股票,2025-03-13,1.25,1.25,-2.09,6.76,6.19,39.15,38.94,,,6.87,24.98,2023-11-10
96,561100,富国中证消费电子主题ETF,指数型-股票,2025-03-13,0.9324,0.9324,-4.55,-0.85,8.12,50.9,38.59,32.14,5.75,5.63,-6.67,2022-01-20
97,512330,南方中证500信息技术ETF,指数型-股票,2025-03-14,1.1126,1.1126,0.07,4.94,11.54,68.96,38.25,15.5,16.66,16.45,11.26,2015-06-29
98,159586,南方中证全指计算机ETF,指数型-股票,2025-03-13,1.3793,1.3793,-5.31,0.5,7.28,87.94,37.89,,,19.91,37.93,2024-03-07
99,159658,华安中证数字经济主题ETF,指数型-股票,2025-03-13,1.3063,1.3063,-5.13,1.71,8.31,74.8,37.66,12.9,,7.81,30.63,2022-09-27
100,159739,鹏华中证云计算与大数据主题ETF,指数型-股票,2025-03-13,1.2347,1.2347,-5.52,1.79,11.88,77.78,37.42,24.49,46.6,16.91,23.47,2021-11-03
101,159899,招商中证全指软件ETF,指数型-股票,2025-03-14,0.9198,0.9198,-3.13,-2.84,9.18,90.08,37.39,0.28,18.0,19.41,-8.03,2021-06-18
102,159575,银华创业板中盘200ETF,指数型-股票,2025-03-14,1.2989,1.2989,0.47,5.9,5.04,71.95,37.38,,,15.07,29.89,2023-12-20
103,562660,华夏中证2000ETF,指数型-股票,2025-03-13,1.2705,1.2705,0.47,6.14,3.2,57.69,37.32,,,12.51,27.05,2023-09-06
104,560300,汇添富中证电信主题ETF,指数型-股票,2025-03-13,1.4246,1.4246,-3.93,0.18,3.6,46.58,37.07,,,2.46,42.46,2023-12-05
105,513900,华安CES港股通ETF,指数型-股票,2025-03-13,0.9927,0.9927,-3.86,9.64,18.33,37.74,36.94,18.79,22.51,19.24,-0.73,2018-04-27
106,513810,华夏中证香港内地国有企业ETF(QDII),指数型-海外股票,2025-03-13,1.437,1.437,-0.87,4.33,13.44,30.2,36.78,,,8.43,43.7,2023-08-21
107,517660,天弘中证沪港深物联网主题ETF,指数型-股票,2025-03-14,1.0506,1.0506,-4.22,5.28,15.72,48.4,36.61,31.02,26.22,13.0,3.26,2021-10-12
108,561310,国泰中证消费电子主题ETF,指数型-股票,2025-03-13,0.8443,0.8443,-4.56,-0.99,7.99,49.04,36.46,30.11,4.97,5.45,-15.57,2021-11-10
109,516510,易方达中证云计算ETF,指数型-股票,2025-03-13,1.2884,1.2884,-5.53,1.79,11.87,77.34,36.4,24.66,48.11,16.95,28.84,2021-03-29
110,516000,华夏中证大数据产业ETF,指数型-股票,2025-03-13,1.0764,1.0764,-5.21,4.01,16.53,88.02,36.34,5.73,20.63,19.89,7.64,2021-02-09
111,518860,建信上海金ETF,指数型-其他,2025-03-14,6.6873,1.5891,2.22,1.05,11.16,18.69,36.33,60.19,68.72,12.56,58.91,2020-08-05
112,159834,金ETF,指数型-其他,2025-03-14,6.9577,1.6986,2.22,1.06,11.14,18.64,36.31,60.25,70.39,12.53,69.86,2022-03-03
113,159831,嘉实上海金ETF,指数型-其他,2025-03-14,6.7422,1.6958,2.22,1.05,11.04,18.53,36.13,59.65,,12.51,69.58,2022-03-23
114,513910,华夏中证港股通央企红利ETF,指数型-股票,2025-03-13,1.3451,1.3451,0.07,3.86,5.51,30.64,36.03,,,1.61,34.51,2024-02-07
115,159519,国泰中证香港内地国有企业ETF(QDII),指数型-海外股票,2025-03-14,1.4777,1.4777,-0.69,4.13,13.19,29.29,35.95,,,7.98,45.13,2023-08-23
116,516630,华夏中证云计算ETF,指数型-股票,2025-03-13,1.2481,1.2481,-5.53,1.83,11.8,76.91,35.5,22.03,45.4,16.91,24.81,2021-08-24
117,159572,易方达创业板中盘200ETF,指数型-股票,2025-03-13,1.272,1.272,-3.03,5.0,2.52,70.65,35.42,,,13.11,27.2,2023-12-15
118,159527,广发中证云计算与大数据ETF,指数型-股票,2025-03-13,1.6341,1.6341,-5.56,1.69,11.59,75.97,35.36,,,16.63,63.41,2024-01-22
119,159555,银华中证2000增强策略ETF,指数型-股票,2025-03-13,1.2364,1.2364,0.37,5.92,4.55,61.64,35.16,,,13.17,23.64,2023-12-01
120,159888,华夏中证智能汽车主题ETF,指数型-股票,2025-03-14,1.1891,1.1891,-1.95,-0.18,11.09,52.9,34.85,29.25,18.0,14.27,18.91,2021-05-13
121,518680,富国上海金ETF,指数型-其他,2025-03-13,6.5583,1.6375,0.59,0.16,9.66,17.11,34.82,60.48,65.45,11.01,63.75,2020-07-06
122,159732,华夏国证消费电子主题ETF,指数型-股票,2025-03-13,0.8608,0.8608,-4.14,-2.57,6.91,43.92,34.79,29.58,3.62,6.94,-13.92,2021-08-12
123,588460,鹏华上证科创板50成份增强策略ETF,指数型-股票,2025-03-13,1.1939,1.1939,-5.3,3.39,7.32,62.21,34.78,12.55,,6.79,19.39,2022-12-01
124,159934,易方达黄金ETF,指数型-其他,2025-03-13,6.5024,2.649,0.59,-0.06,9.69,17.04,34.75,60.57,66.72,11.09,164.88,2013-11-29
125,518850,华夏黄金ETF,指数型-其他,2025-03-13,6.5958,1.6979,0.59,-0.03,9.77,17.15,34.69,60.05,65.75,11.15,69.79,2020-04-13
126,518800,国泰黄金ETF,指数型-其他,2025-03-13,6.4881,2.4543,0.59,-0.06,9.67,16.97,34.62,60.43,66.58,11.07,145.43,2013-07-18
127,159786,银华中证虚拟现实主题ETF,指数型-股票,2025-03-13,0.946,0.946,-4.15,-2.01,7.13,52.02,34.62,30.5,12.13,10.77,-5.4,2021-07-29
128,518880,华安黄金易ETF,指数型-其他,2025-03-13,6.5668,2.4797,0.6,-0.06,9.66,16.98,34.58,60.5,66.82,11.06,147.97,2013-07-18
129,159830,天弘上海金ETF,指数型-其他,2025-03-13,6.8382,1.7027,0.59,0.15,9.63,17.14,34.58,58.65,62.27,10.99,70.27,2021-07-06
130,159937,博时黄金ETF,指数型-其他,2025-03-13,6.5568,2.5746,0.59,-0.07,9.61,16.92,34.56,60.35,66.62,11.01,157.46,2014-08-13
131,518660,工银瑞信黄金ETF,指数型-其他,2025-03-13,6.5522,1.6981,0.59,-0.04,9.76,17.09,34.52,59.55,65.04,11.14,69.76,2020-04-24
132,515260,华宝中证电子50ETF,指数型-股票,2025-03-13,0.9405,0.9405,-4.4,-0.29,6.83,49.76,34.47,29.39,5.66,4.13,-5.98,2020-07-17
133,518890,中银上海金ETF,指数型-其他,2025-03-13,6.5931,1.5865,0.58,0.11,9.53,16.92,34.46,59.33,64.61,10.9,58.52,2020-08-28
134,159571,富国创业板中盘200ETF,指数型-股票,2025-03-13,1.2948,1.2948,-3.01,5.02,2.79,71.0,34.39,,,13.34,29.48,2023-12-20
135,518600,广发上海金ETF,指数型-其他,2025-03-13,6.4731,1.5855,0.58,0.12,9.52,16.92,34.34,58.34,63.12,10.91,58.55,2020-07-08
136,159812,前海开源黄金ETF,指数型-其他,2025-03-13,6.5462,1.6845,0.59,-0.07,9.62,16.9,34.32,59.36,64.85,11.02,68.45,2020-04-29
137,513920,华安恒生港股通中国央企红利ETF,指数型-股票,2025-03-13,1.3891,1.4061,0.35,5.51,8.08,28.65,34.29,,,4.4,40.76,2023-12-20
138,159685,天弘中证1000增强ETF,指数型-股票,2025-03-14,1.0841,1.0841,1.11,5.14,5.85,55.43,34.09,,,11.18,8.41,2023-03-15
139,159889,国泰中证智能汽车主题ETF,指数型-股票,2025-03-14,1.0255,1.0255,-1.95,-0.22,11.0,52.49,33.77,26.42,16.1,14.17,2.55,2021-09-01
140,515400,富国中证大数据产业ETF,指数型-股票,2025-03-13,0.9987,0.9987,-5.19,3.94,15.86,84.98,33.62,4.26,18.16,19.33,-0.13,2021-01-07
141,159939,广发中证全指信息技术ETF,指数型-股票,2025-03-13,0.6804,1.3608,-4.52,0.8,7.86,59.61,33.57,18.0,8.78,8.55,36.08,2015-01-08
142,516520,华泰柏瑞中证智能汽车主题ETF,指数型-股票,2025-03-13,1.1523,1.1523,-4.69,-1.24,9.49,52.04,33.57,29.85,18.04,12.5,15.23,2021-02-09
143,512800,华宝中证银行ETF,指数型-股票,2025-03-14,1.5223,1.5223,1.31,0.92,7.5,27.49,33.3,45.63,38.62,2.55,51.53,2017-07-18
144,159997,天弘中证电子ETF,指数型-股票,2025-03-13,1.1863,1.1863,-4.14,0.71,7.84,52.66,33.19,26.7,6.12,6.37,18.63,2020-02-27
