序号,基金代码,基金简称,类型,日期,单位净值,累计净值,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立日期
32,513580,华安恒生科技(QDII-ETF),指数型-海外股票,2025-03-12,0.7893,0.7893,1.44,10.81,26.19,68.69,61.87,57.26,52.97,29.78,-21.07,2021-05-20
33,513320,易方达恒生港股通新经济ETF,指数型-股票,2025-03-12,1.3642,1.3642,0.35,10.96,27.01,62.91,61.75,46.09,36.5,29.57,36.42,2022-03-03
34,513090,易方达中证香港证券投资ETF,指数型-股票,2025-03-12,1.6129,1.6129,0.52,4.47,1.15,79.03,61.71,51.6,48.79,8.37,61.24,2020-03-13
35,159851,华宝中证金融科技主题ETF,指数型-股票,2025-03-12,1.5738,1.5738,1.59,-1.16,-4.47,110.29,61.4,40.76,41.86,9.95,57.38,2021-03-04
36,516860,博时金融科技ETF,指数型-股票,2025-03-12,1.3455,1.3455,1.53,-1.13,-4.3,110.96,61.16,37.97,37.34,10.02,34.54,2021-09-24
37,513070,易方达中证港股通消费主题ETF,指数型-股票,2025-03-12,1.3879,1.3879,1.56,13.35,22.08,60.6,60.75,44.65,,26.74,38.79,2022-03-14
38,513230,华夏中证港股通消费主题ETF,指数型-股票,2025-03-12,1.1008,1.1008,1.55,13.32,21.74,60.42,60.28,43.45,42.59,26.69,10.08,2022-01-12
39,513260,汇添富恒生科技ETF(QDII),指数型-海外股票,2025-03-13,1.4896,1.4896,-5.32,10.0,27.83,66.68,60.1,54.22,,27.96,48.96,2022-08-31
40,516100,华夏中证金融科技主题ETF,指数型-股票,2025-03-12,1.2817,1.2817,1.59,-1.19,-4.07,109.19,60.01,37.82,39.42,10.41,28.17,2021-07-13
41,159546,国泰中证全指集成电路ETF,指数型-股票,2025-03-12,1.4518,1.4518,-0.1,3.1,15.56,89.75,59.21,,,13.65,45.18,2023-10-11
42,159729,汇添富中证沪港深互联网ETF,指数型-股票,2025-03-13,0.9211,0.9211,-5.57,6.83,18.76,78.4,58.84,34.57,47.19,23.49,-7.89,2021-07-08
43,159735,银华中证港股通消费主题ETF,指数型-股票,2025-03-12,0.8552,0.8552,1.44,13.08,21.67,57.87,57.87,39.17,37.8,26.23,-14.48,2021-05-25
44,159954,南方恒生中国企业ETF,指数型-股票,2025-03-12,0.9997,0.9997,0.68,8.85,19.13,45.94,57.63,48.02,50.04,19.7,-0.03,2018-02-08
45,513590,鹏华中证港股通消费主题ETF,指数型-股票,2025-03-12,0.9744,0.9744,1.04,12.37,20.44,56.71,56.5,40.14,44.29,24.78,-2.56,2021-08-03
46,513330,华夏恒生互联网科技业ETF(QDII),指数型-海外股票,2025-03-12,0.536,0.536,3.57,11.37,21.05,55.72,54.73,31.28,23.39,28.82,-46.4,2021-01-26
47,517390,天弘中证沪港深云计算产业ETF,指数型-股票,2025-03-12,1.2522,1.2522,2.11,4.63,19.12,84.69,53.53,41.62,55.01,25.0,25.22,2021-12-10
48,159738,华泰柏瑞中证沪港深云计算产业ETF,指数型-股票,2025-03-12,1.3262,1.3262,2.09,4.64,18.89,81.6,52.24,41.57,55.44,24.62,32.62,2022-01-18
49,510900,易方达恒生国企ETF,指数型-海外股票,2025-03-12,1.1231,1.1731,0.56,7.92,18.05,45.8,52.2,46.33,49.29,19.0,17.2,2012-08-09
50,159850,华夏恒生中国企业ETF(QDII),指数型-海外股票,2025-03-12,0.883,0.883,0.5,7.91,18.11,45.78,52.08,45.66,47.61,19.05,-11.7,2021-02-01
51,159688,华安恒生互联网科技业ETF(QDII),指数型-海外股票,2025-03-12,1.0924,1.0924,3.47,11.04,20.87,56.08,52.04,29.91,,28.41,9.24,2023-01-17
52,159665,工银瑞信国证半导体芯片ETF,指数型-股票,2025-03-12,1.3695,1.3695,0.45,2.22,11.82,76.21,50.64,32.31,,9.8,36.95,2022-12-22
53,512480,国联安中证半导体ETF,指数型-股票,2025-03-12,1.1281,2.2562,0.02,2.91,11.3,77.49,50.41,28.69,0.98,11.88,125.62,2019-05-08
54,588100,嘉实上证科创板新一代信息技术ETF,指数型-股票,2025-03-12,1.4661,1.4661,1.12,4.71,11.8,79.89,50.29,40.43,,13.11,46.61,2022-05-18
55,588260,华安上证科创板新一代信息技术ETF,指数型-股票,2025-03-12,1.454,1.454,1.15,4.73,11.81,79.35,50.11,39.13,,13.01,45.4,2022-05-18
56,159788,易方达中证港股通中国100ETF,指数型-股票,2025-03-12,1.2788,1.2788,0.8,8.73,18.16,45.32,49.62,40.82,43.33,19.41,27.88,2022-02-22
57,159960,平安港股通恒生中国企业ETF,指数型-股票,2025-03-12,0.8884,1.0499,0.52,7.63,16.09,42.81,49.58,44.75,51.05,16.39,9.17,2018-09-21
58,516350,易方达中证芯片产业ETF,指数型-股票,2025-03-12,0.9171,0.9171,0.11,2.85,12.29,75.32,49.51,32.64,4.09,11.27,-8.29,2021-12-15
59,517350,广发中证沪港深科技龙头ETF,指数型-股票,2025-03-12,0.8168,0.8168,-0.17,6.12,19.33,54.32,49.0,34.56,24.17,20.76,-18.32,2021-05-20
60,159801,广发国证半导体芯片ETF,指数型-股票,2025-03-12,0.6669,1.3338,0.36,2.08,11.35,74.4,48.53,29.5,-4.89,9.33,33.38,2020-01-20
61,159995,华夏国证半导体芯片ETF,指数型-股票,2025-03-12,1.3406,1.3406,0.4,2.15,11.37,74.6,48.41,29.28,-4.77,9.39,34.06,2020-01-20
62,159813,鹏华国证半导体芯片ETF,指数型-股票,2025-03-12,0.8598,1.2897,0.35,2.08,11.29,74.26,48.32,28.94,-4.69,9.31,28.97,2020-04-17
63,516640,富国中证芯片产业ETF,指数型-股票,2025-03-12,0.8243,0.8243,0.1,2.78,12.24,74.97,47.94,28.46,1.07,11.2,-17.57,2021-08-19
64,513190,华夏中证港股通内地金融ETF,指数型-股票,2025-03-12,1.4616,1.4616,0.24,3.52,9.51,40.23,47.83,,,7.84,46.16,2023-09-25
65,159560,景顺长城中证芯片产业ETF,指数型-股票,2025-03-12,1.2889,1.2889,0.07,2.77,12.21,74.48,47.79,,,11.28,28.86,2023-11-09
66,516920,汇添富中证芯片产业ETF,指数型-股票,2025-03-12,0.8035,0.8035,0.09,2.8,12.06,74.6,47.78,28.25,0.12,11.23,-19.65,2021-07-27
67,517360,华安中证沪港深科技100ETF,指数型-股票,2025-03-12,1.0663,1.0663,1.71,10.17,18.97,52.9,47.67,35.51,42.02,22.39,6.63,2021-06-18
68,513600,南方恒指ETF,指数型-海外股票,2025-03-12,2.7093,1.4285,0.42,9.1,16.84,39.35,47.3,33.54,41.84,18.52,43.47,2014-12-23
69,560660,新华中证云计算50ETF,指数型-股票,2025-03-12,1.2823,1.2823,1.85,2.59,14.0,82.59,47.02,42.3,58.66,20.56,28.23,2021-08-05
70,512760,国泰CES半导体芯片ETF,指数型-股票,2025-03-12,1.2509,2.5018,0.27,3.24,11.95,74.27,46.99,25.77,-3.64,11.4,150.18,2019-05-16
71,513550,华泰柏瑞中证港股通50ETF,指数型-股票,2025-03-12,1.0643,1.0643,-0.07,9.0,17.69,40.63,46.62,36.15,43.24,18.89,6.43,2020-12-30
72,159723,汇添富中证沪港深科技龙头ETF,指数型-股票,2025-03-13,0.9295,0.9295,-5.21,5.9,19.87,51.38,46.52,30.88,22.79,18.76,-7.05,2021-09-27
73,513660,华夏沪港通恒生ETF,指数型-股票,2025-03-12,2.9027,1.507,0.27,8.75,16.85,40.36,46.32,36.28,44.74,18.19,50.7,2014-12-23
74,517800,方正富邦沪港深人工智能50ETF,指数型-股票,2025-03-12,0.838,0.838,1.65,4.48,13.06,66.87,46.07,20.47,15.81,16.15,-16.2,2021-08-04
75,159711,华夏中证港股通50ETF,指数型-股票,2025-03-12,1.2672,1.2672,-0.03,8.89,17.43,40.29,46.04,35.82,44.25,18.77,26.72,2021-12-16
76,159540,易方达国证信息技术创新主题ETF,指数型-股票,2025-03-12,1.3595,1.3595,1.39,3.21,14.08,81.32,45.82,,,14.99,35.95,2023-09-20
77,513990,招商上证港股通ETF,指数型-股票,2025-03-12,1.0781,1.0781,0.43,9.41,17.54,37.88,45.18,31.94,39.52,19.17,7.81,2020-08-03
78,159793,平安中证沪港深线上消费主题ETF,指数型-股票,2025-03-12,0.9923,0.9923,2.33,8.38,13.51,62.73,45.18,30.21,32.43,24.36,-0.77,2021-11-09
79,159537,国泰国证信息技术创新主题ETF,指数型-股票,2025-03-12,1.3338,1.3338,1.33,3.13,13.54,80.02,44.59,,,14.42,33.38,2023-09-20
80,561980,招商中证半导体产业ETF,指数型-股票,2025-03-12,1.3794,1.3794,0.13,3.33,6.54,62.09,44.3,,,10.33,37.94,2023-08-21
81,159920,华夏恒生ETF(QDII),指数型-海外股票,2025-03-12,1.4499,1.5259,0.23,8.45,15.86,38.65,44.28,33.07,37.95,17.68,52.49,2012-08-09
82,159538,富国国证信息技术创新主题ETF,指数型-股票,2025-03-12,1.3498,1.3498,1.34,3.07,13.26,80.09,44.22,,,14.29,34.85,2023-09-14
83,159712,国泰中证港股通50ETF,指数型-股票,2025-03-12,1.1787,1.1787,-0.11,8.29,16.4,38.83,43.88,33.7,41.74,17.48,17.87,2021-10-27
84,159539,广发国证信息技术创新主题ETF,指数型-股票,2025-03-12,1.3191,1.3191,1.33,3.06,13.25,79.42,43.6,,,14.29,31.91,2023-09-20
85,560800,鹏扬中证数字经济主题ETF,指数型-股票,2025-03-12,0.8509,0.8509,1.01,1.64,8.49,79.06,42.1,19.31,5.34,10.62,-14.91,2021-12-22
86,159739,鹏华中证云计算与大数据主题ETF,指数型-股票,2025-03-12,1.2651,1.2651,1.45,2.62,12.47,81.35,41.97,33.17,50.21,19.79,26.51,2021-11-03
87,561100,富国中证消费电子主题ETF,指数型-股票,2025-03-12,0.956,0.956,-0.56,-0.76,8.96,54.14,41.78,36.09,8.43,8.3,-4.3,2022-01-20
88,562950,易方达中证消费电子主题ETF,指数型-股票,2025-03-12,0.9048,0.9048,-0.56,-0.7,9.28,54.38,41.53,34.46,8.19,8.58,-9.52,2022-01-12
89,159890,招商中证云计算ETF,指数型-股票,2025-03-12,1.3347,1.3347,1.4,2.59,12.71,80.58,41.31,32.16,50.8,19.95,33.47,2021-03-25
90,516000,华夏中证大数据产业ETF,指数型-股票,2025-03-12,1.1057,1.1057,1.81,5.52,17.17,90.61,41.02,13.22,23.92,23.16,10.57,2021-02-09
91,516510,易方达中证云计算ETF,指数型-股票,2025-03-12,1.3201,1.3201,1.44,2.63,12.34,80.91,40.87,33.4,51.75,19.82,32.01,2021-03-29
92,159586,南方中证全指计算机ETF,指数型-股票,2025-03-12,1.4068,1.4068,2.05,1.31,6.4,88.45,40.64,,,22.3,40.68,2024-03-07
93,159573,华夏创业板中盘200ETF,指数型-股票,2025-03-12,1.3003,1.3003,2.77,5.91,2.79,72.2,40.56,,,15.91,30.03,2023-12-15
94,159658,华安中证数字经济主题ETF,指数型-股票,2025-03-12,1.3359,1.3359,0.95,1.54,8.17,77.36,40.47,17.63,,10.25,33.59,2022-09-27
95,159572,易方达创业板中盘200ETF,指数型-股票,2025-03-12,1.3008,1.3008,2.75,5.88,2.55,71.11,40.11,,,15.67,30.08,2023-12-15
96,516630,华夏中证云计算ETF,指数型-股票,2025-03-12,1.2788,1.2788,1.47,2.65,12.34,80.44,39.94,30.61,48.97,19.78,27.88,2021-08-24
97,517900,招商中证银行AH价格优选ETF,指数型-股票,2025-03-12,1.3875,1.3875,0.02,2.47,10.36,34.81,39.83,46.59,,6.5,38.75,2022-03-15
98,159527,广发中证云计算与大数据ETF,指数型-股票,2025-03-12,1.674,1.674,1.35,2.52,12.01,79.48,39.73,,,19.48,67.4,2024-01-22
99,561310,国泰中证消费电子主题ETF,指数型-股票,2025-03-12,0.8653,0.8653,-0.69,-0.93,8.8,52.15,39.52,33.97,7.58,8.07,-13.47,2021-11-10
100,563010,易方达中证电信主题ETF,指数型-股票,2025-03-12,1.3464,1.3464,0.31,0.35,4.14,50.67,39.48,,,4.17,34.64,2023-07-05
101,562660,华夏中证2000ETF,指数型-股票,2025-03-12,1.2854,1.2854,3.44,5.88,2.81,57.33,39.41,,,13.83,28.54,2023-09-06
102,513140,华泰柏瑞中证香港300金融服务ETF(QDII),指数型-海外股票,2025-03-12,1.3025,1.3025,-0.2,5.71,10.87,33.07,39.23,33.82,,10.33,30.25,2022-12-26
103,560300,汇添富中证电信主题ETF,指数型-股票,2025-03-12,1.4479,1.4479,0.3,0.33,4.09,50.24,39.06,,,4.14,44.79,2023-12-05
104,159786,银华中证虚拟现实主题ETF,指数型-股票,2025-03-12,0.9699,0.9699,0.13,-1.01,8.66,54.79,39.03,35.14,14.96,13.57,-3.01,2021-07-29
105,159779,招商中证消费电子主题ETF,指数型-股票,2025-03-12,0.841,0.841,-0.67,-0.79,8.66,51.53,39.01,32.21,5.72,8.01,-15.9,2021-11-18
106,159571,富国创业板中盘200ETF,指数型-股票,2025-03-12,1.324,1.324,2.76,5.89,2.92,71.46,38.97,,,15.9,32.4,2023-12-20
107,516520,华泰柏瑞中证智能汽车主题ETF,指数型-股票,2025-03-12,1.1883,1.1883,-0.11,-0.71,10.97,55.68,38.46,34.35,21.73,16.01,18.83,2021-02-09
108,513900,华安CES港股通ETF,指数型-股票,2025-03-12,1.0002,1.0002,0.41,10.8,17.0,39.13,38.42,21.22,23.44,20.14,0.02,2018-04-27
109,517660,天弘中证沪港深物联网主题ETF,指数型-股票,2025-03-12,1.0479,1.0479,-0.11,4.45,15.29,51.17,38.35,36.23,28.09,14.67,4.79,2021-10-12
110,513750,广发中证港股通非银ETF,指数型-股票,2025-03-12,1.2596,1.2596,2.2,5.88,3.59,40.86,38.25,,,7.69,25.93,2023-11-10
111,515400,富国中证大数据产业ETF,指数型-股票,2025-03-12,1.0259,1.0259,1.81,5.45,16.57,87.58,38.17,11.62,21.38,22.58,2.59,2021-01-07
112,588460,鹏华上证科创板50成份增强策略ETF,指数型-股票,2025-03-12,1.2242,1.2242,0.43,3.22,8.87,65.12,38.06,16.28,,9.5,22.42,2022-12-01
113,159899,招商中证全指软件ETF,指数型-股票,2025-03-12,0.9219,0.9219,1.47,-0.58,6.11,87.87,37.78,4.16,15.22,19.68,-7.82,2021-06-18
114,159732,华夏国证消费电子主题ETF,指数型-股票,2025-03-12,0.8802,0.8802,-0.65,-3.06,8.37,46.55,37.66,32.78,5.96,9.36,-11.98,2021-08-12
115,516700,华宝大数据ETF,指数型-股票,2025-03-12,1.0778,1.0778,1.84,5.49,16.61,85.92,37.46,10.5,19.08,22.38,7.78,2021-05-11
116,561600,平安中证消费电子主题ETF,指数型-股票,2025-03-12,0.8952,0.8952,-0.59,-0.76,8.31,49.92,37.43,29.01,2.79,7.75,-10.48,2021-08-30
117,159555,银华中证2000增强策略ETF,指数型-股票,2025-03-12,1.2508,1.2508,3.39,6.01,3.93,60.42,37.27,,,14.49,25.08,2023-12-01
118,512330,南方中证500信息技术ETF,指数型-股票,2025-03-12,1.1106,1.1106,0.37,3.63,9.4,66.78,36.99,17.4,13.27,16.24,11.06,2015-06-29
119,159575,银华创业板中盘200ETF,指数型-股票,2025-03-12,1.2969,1.2969,2.56,5.47,2.63,68.45,36.92,,,14.89,29.69,2023-12-20
120,159939,广发中证全指信息技术ETF,指数型-股票,2025-03-12,0.6962,1.3924,0.64,0.65,8.31,62.36,36.78,22.85,11.3,11.07,39.24,2015-01-08
121,515260,华宝中证电子50ETF,指数型-股票,2025-03-12,0.9603,0.9603,0.4,-0.79,7.22,52.62,36.64,33.69,7.89,6.32,-4.0,2020-07-17
122,513810,华夏中证香港内地国有企业ETF(QDII),指数型-海外股票,2025-03-12,1.4349,1.4349,0.19,3.5,11.02,31.37,35.85,,,8.27,43.49,2023-08-21
123,562030,华宝中证信息技术应用创新产业ETF,指数型-股票,2025-03-12,1.1446,1.1446,1.87,4.19,13.77,85.48,35.84,,,24.12,14.46,2023-09-26
124,159997,天弘中证电子ETF,指数型-股票,2025-03-12,1.2133,1.2133,0.54,0.36,8.4,55.49,35.78,30.87,8.53,8.79,21.33,2020-02-27
125,515250,富国中证智能汽车主题ETF,指数型-股票,2025-03-12,1.0776,1.0776,-0.12,-0.79,10.58,54.19,35.75,29.97,15.24,15.65,7.76,2020-12-24
126,588020,易方达上证科创板成长ETF,指数型-股票,2025-03-12,1.2304,1.2304,0.39,4.0,10.11,63.07,35.67,,,12.98,23.04,2023-08-23
127,561010,华安中证全指软件开发ETF,指数型-股票,2025-03-12,1.1892,1.1892,1.4,-0.26,3.16,82.03,35.55,,,18.59,18.92,2023-11-21
128,159888,华夏中证智能汽车主题ETF,指数型-股票,2025-03-12,1.2009,1.2009,-0.14,-0.86,10.26,53.31,35.45,30.35,15.48,15.4,20.09,2021-05-13
129,516800,华宝中证智能制造ETF,指数型-股票,2025-03-13,1.2203,1.2203,-4.35,3.61,11.74,66.0,35.29,20.91,14.25,10.71,22.03,2021-01-29
130,159795,汇添富中证智能汽车主题ETF,指数型-股票,2025-03-12,1.0238,1.0238,-0.14,-0.81,10.26,53.38,35.01,28.3,14.67,15.44,2.38,2022-01-27
131,513910,华夏中证港股通央企红利ETF,指数型-股票,2025-03-12,1.345,1.345,0.76,2.59,3.24,31.64,34.93,,,1.6,34.5,2024-02-07
132,159519,国泰中证香港内地国有企业ETF(QDII),指数型-海外股票,2025-03-12,1.4486,1.4486,0.19,3.22,10.77,30.45,34.92,,,7.78,44.86,2023-08-23
133,515230,国泰中证全指软件ETF,指数型-股票,2025-03-12,0.9316,0.9316,1.43,-0.64,5.5,85.61,34.82,-0.24,9.87,19.07,-6.84,2021-02-03
134,159819,易方达中证人工智能主题ETF,指数型-股票,2025-03-12,1.0408,1.0408,1.12,2.27,11.39,67.6,34.75,29.52,18.0,14.59,4.08,2020-07-27
135,515320,华安中证电子50ETF,指数型-股票,2025-03-12,0.8914,0.8914,0.35,-0.83,6.72,51.03,34.63,28.59,3.05,6.01,-10.86,2020-11-25
136,515980,华富中证人工智能产业ETF,指数型-股票,2025-03-12,1.1184,1.1184,0.9,2.17,11.37,67.75,34.6,25.11,15.14,15.32,11.84,2019-12-24
137,515070,华夏中证人工智能主题ETF,指数型-股票,2025-03-12,1.3254,1.3254,1.11,2.25,11.28,67.35,34.42,29.08,17.31,14.54,32.54,2019-12-09
138,159889,国泰中证智能汽车主题ETF,指数型-股票,2025-03-12,1.0357,1.0357,-0.14,-0.86,10.13,52.92,34.33,27.47,13.79,15.31,3.57,2021-09-01
139,588000,华夏上证科创板50成份ETF,指数型-股票,2025-03-12,1.15,0.7987,0.72,4.61,8.17,66.59,34.28,11.13,-4.92,10.27,-20.13,2020-09-28
140,512220,景顺中证科技传媒通信150ETF,指数型-股票,2025-03-12,1.8595,1.8595,0.36,0.09,9.39,54.93,33.97,27.42,19.24,10.21,85.95,2014-07-18
141,588110,广发上证科创板成长ETF,指数型-股票,2025-03-12,1.2051,1.2051,0.4,3.93,9.94,61.43,33.93,,,12.91,20.51,2023-08-23
142,588370,南方上证科创板50成份增强策略ETF,指数型-股票,2025-03-12,1.078,1.078,0.84,4.02,7.7,63.68,33.88,9.11,,10.85,7.8,2022-12-01
143,159934,易方达黄金ETF,指数型-其他,2025-03-12,6.4612,2.6322,-0.33,-0.16,7.89,17.82,33.77,60.97,65.66,10.38,163.2,2013-11-29
144,159770,天弘中证机器人ETF,指数型-股票,2025-03-12,1.0211,1.0211,1.86,7.79,15.37,78.05,33.77,27.21,24.95,27.0,2.11,2021-10-26
145,518850,华夏黄金ETF,指数型-其他,2025-03-12,6.554,1.6872,-0.32,-0.13,7.97,17.93,33.71,60.43,64.7,10.45,68.72,2020-04-13
146,588080,易方达上证科创板50成份ETF,指数型-股票,2025-03-12,1.1185,0.7837,0.76,4.88,8.05,65.56,33.65,10.16,-6.42,10.39,-21.63,2020-09-28
147,518800,国泰黄金ETF,指数型-其他,2025-03-12,6.447,2.4388,-0.32,-0.17,7.86,17.76,33.64,60.83,65.52,10.36,143.88,2013-07-18
148,512930,平安人工智能ETF,指数型-股票,2025-03-12,1.4862,1.6902,1.12,2.24,11.33,66.24,33.64,28.39,17.14,14.52,72.16,2019-07-12
149,518680,富国上海金ETF,指数型-其他,2025-03-12,6.5102,1.6255,-0.32,-0.15,7.94,18.02,33.62,60.65,64.24,10.19,62.55,2020-07-06
150,518880,华安黄金易ETF,指数型-其他,2025-03-12,6.525,2.4639,-0.33,-0.17,7.86,17.75,33.6,60.89,65.76,10.36,146.39,2013-07-18
151,159937,博时黄金ETF,指数型-其他,2025-03-12,6.5153,2.5583,-0.33,-0.17,7.81,17.7,33.59,60.74,65.56,10.31,155.83,2014-08-13
152,518660,工银瑞信黄金ETF,指数型-其他,2025-03-12,6.5107,1.6873,-0.32,-0.14,7.96,17.87,33.55,59.93,64.0,10.44,68.68,2020-04-24
153,588180,国联安上证科创板50成份ETF,指数型-股票,2025-03-12,0.7055,0.7055,0.83,4.91,7.94,65.18,33.52,10.3,-5.71,10.41,-29.45,2021-06-24
154,588060,广发上证科创板50成份ETF,指数型-股票,2025-03-12,0.6961,0.6961,0.81,4.91,7.92,65.11,33.51,9.9,-7.11,10.39,-30.39,2021-07-15
155,588150,南方上证科创板50ETF,指数型-股票,2025-03-12,0.7657,0.7657,0.83,4.93,8.09,65.74,33.49,9.56,-6.06,10.55,-23.43,2021-12-10
156,159685,天弘中证1000增强ETF,指数型-股票,2025-03-12,1.0848,1.0848,2.77,4.62,4.04,53.83,33.48,,,11.25,8.48,2023-03-15
157,159852,嘉实中证软件服务ETF,指数型-股票,2025-03-12,0.9215,0.9215,1.04,-0.17,7.38,87.91,33.42,-2.84,7.55,19.64,-7.85,2021-01-29
158,159830,天弘上海金ETF,指数型-其他,2025-03-12,6.7881,1.6903,-0.32,-0.16,7.92,18.06,33.37,58.81,61.09,10.18,69.03,2021-07-06
159,518860,建信上海金ETF,指数型-其他,2025-03-12,6.5427,1.5547,-0.32,-0.18,7.85,17.88,33.36,59.98,64.22,10.13,55.47,2020-08-05
160,159812,前海开源黄金ETF,指数型-其他,2025-03-12,6.5047,1.6738,-0.32,-0.17,7.82,17.68,33.35,59.75,63.81,10.32,67.38,2020-04-29
