序号,基金代码,基金简称,类型,日期,单位净值,累计净值,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立日期
1,159636,工银瑞信国证港股通科技30ETF,指数型-股票,2025-03-12,1.3619,1.3619,0.16,12.77,30.93,76.96,86.15,63.08,,33.47,36.19,2022-06-30
2,513160,银华恒生港股通中国科技ETF,指数型-股票,2025-03-12,1.2447,1.2447,1.78,10.68,34.18,82.72,83.02,65.74,63.54,34.07,24.47,2022-01-17
3,513020,国泰中证港股通科技ETF,指数型-股票,2025-03-12,1.1483,1.1483,1.36,12.53,31.6,73.09,74.73,54.18,51.01,34.12,14.83,2022-01-19
4,513150,华泰柏瑞港股通科技ETF,指数型-股票,2025-03-12,1.1699,1.1699,1.4,12.53,32.09,72.81,74.04,53.75,50.1,33.89,16.99,2022-01-25
5,513560,兴银中证港股通科技ETF,指数型-股票,2025-03-12,1.3616,1.3616,1.42,12.65,31.72,72.95,73.74,54.22,,33.81,36.16,2023-01-31
6,513980,景顺长城中证港股通科技ETF,指数型-股票,2025-03-12,0.739,0.739,1.32,12.64,31.82,72.87,73.19,53.51,52.4,34.51,-26.1,2021-06-21
7,513860,海富通中证港股通科技ETF,指数型-股票,2025-03-12,0.7403,0.7403,1.34,12.73,31.91,72.68,73.01,54.33,52.39,34.36,-25.97,2021-06-17
8,159751,鹏华中证港股通科技ETF,指数型-股票,2025-03-12,1.0711,1.0711,1.3,12.22,31.25,71.43,72.37,54.05,51.5,33.2,7.11,2021-12-10
9,513050,易方达中概互联50ETF,指数型-海外股票,2025-03-11,1.503,1.503,5.73,16.39,26.6,52.93,71.69,57.18,71.09,29.75,50.3,2017-01-04
10,159792,富国中证港股通互联网ETF,指数型-股票,2025-03-12,0.9171,0.9171,1.04,12.92,26.85,69.46,71.68,45.94,50.79,32.13,-8.29,2021-09-15
11,513770,华宝中证港股通互联网ETF,指数型-股票,2025-03-12,1.1224,1.1224,1.06,12.74,26.44,69.21,71.1,44.66,49.12,31.74,12.24,2022-02-09
12,513040,易方达中证港股通互联网ETF,指数型-股票,2025-03-12,1.4822,1.4822,1.05,12.87,26.45,67.71,70.07,,,31.87,48.22,2023-05-31
13,159568,博时港股通互联网ETF,指数型-股票,2025-03-12,1.7943,1.7943,1.04,12.76,25.94,66.56,68.97,,,31.25,79.41,2024-02-08
14,513220,招商中证全球中国互联网ETF(QDII),指数型-海外股票,2025-03-11,1.3485,1.3485,5.59,12.83,21.0,57.76,66.19,53.45,,25.72,34.85,2022-07-04
15,517050,华泰柏瑞中证沪港深互联网ETF,指数型-股票,2025-03-12,0.8858,0.8858,2.04,8.25,17.98,81.55,65.26,45.45,56.45,25.59,-11.42,2021-01-25
16,159607,嘉实中证海外中国互联网30ETF(QDII),指数型-海外股票,2025-03-11,1.1478,1.1478,6.02,13.97,23.53,54.79,64.8,53.98,79.34,28.03,14.78,2021-11-24
17,588200,嘉实上证科创板芯片ETF,指数型-股票,2025-03-12,1.6694,1.6694,0.97,6.96,13.34,93.15,64.34,44.66,,14.0,67.34,2022-09-30
18,159605,广发海外中国互联网30(QDII-ETF),指数型-海外股票,2025-03-11,1.1521,1.1521,5.83,13.86,23.25,54.04,64.28,54.58,81.78,27.87,15.21,2021-11-24
19,159856,工银瑞信中证沪港深互联网ETF,指数型-股票,2025-03-12,0.7903,0.7903,2.08,8.48,18.06,82.05,64.17,41.58,50.99,25.94,-20.97,2021-01-22
20,588290,华安上证科创板芯片ETF,指数型-股票,2025-03-12,1.6287,1.6287,0.99,6.99,13.3,92.7,64.1,43.7,,14.09,62.87,2022-09-30
21,513180,华夏恒生科技ETF(QDII),指数型-海外股票,2025-03-12,0.7969,0.7969,1.55,10.99,26.81,69.63,64.07,60.28,54.17,30.36,-20.31,2021-05-18
22,513890,摩根恒生科技ETF(QDII),指数型-海外股票,2025-03-12,1.1927,1.1927,1.55,10.7,26.27,70.26,64.01,63.47,59.18,29.85,19.23,2021-12-17
23,513380,广发恒生科技(QDII-ETF),指数型-海外股票,2025-03-12,0.725,1.45,1.44,10.97,26.86,69.31,63.55,58.23,,30.55,45.0,2022-04-27
24,159742,博时恒生科技ETF(QDII),指数型-海外股票,2025-03-12,0.8043,0.8043,1.62,11.06,26.54,68.79,63.34,59.3,54.67,30.1,-19.57,2021-05-17
25,513010,易方达恒生科技(QDII-ETF),指数型-海外股票,2025-03-12,0.8117,0.8117,1.55,11.02,26.75,69.07,63.19,60.32,57.03,30.31,-18.83,2021-05-18
26,159741,嘉实恒生科技ETF(QDII),指数型-海外股票,2025-03-12,0.7879,0.7879,1.3,10.8,26.84,69.04,62.99,58.95,54.4,30.3,-21.21,2021-05-26
27,159750,招商中证香港科技ETF(QDII),指数型-海外股票,2025-03-12,1.0508,1.0508,0.95,10.79,27.46,61.39,62.99,42.42,36.33,30.99,5.08,2022-01-26
28,513130,华泰柏瑞南方东英恒生科技(QDII-ETF),指数型-海外股票,2025-03-12,0.785,0.785,1.32,10.89,26.47,68.89,62.8,58.39,51.72,29.77,-21.5,2021-05-24
29,159740,大成恒生科技ETF(QDII),指数型-海外股票,2025-03-12,0.783,0.783,1.29,10.44,26.41,68.42,62.55,57.55,51.51,29.85,-21.7,2021-05-18
30,159747,南方中证香港科技ETF(QDII),指数型-海外股票,2025-03-12,1.4397,0.7199,0.97,10.95,26.81,60.88,62.27,44.4,40.46,30.45,-28.02,2021-07-02
31,517200,嘉实中证沪港深互联网ETF,指数型-股票,2025-03-12,0.8005,0.8005,2.05,8.32,17.65,80.66,62.14,39.95,49.32,25.51,-19.95,2021-01-25
